Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Eurycorymbus_cavaleriei,,Sapindaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Eurycorymbus cavaleriei,Reyes et al. 2016,,,0,,,,,
Eurytaenia_hinckleyi,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eurytaenia hinkleyi,1,0,,,,,
Eurytaenia_texana,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Eurytaenia texana,1,0,,,,,
Eustoma_grandiflorum,,Gentianaceae,Eustoma russellianum (Kew),Act,,"Kalisz et al., 2006",,,Act,,,,,Eustoma grandiflorum,2,0,,,,,
Euthamia_graminifolia,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Solidago graminifolia,2,0,,,,,
Exacum_affine,,Gentianaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; Kalisz et al., 2006",Act,Act,Act,Exacum affine,"Sauquet et al., 2017",Exacum affine,Reyes et al. 2016,Exacum affine,2,0,,,,,
Exbucklandia_populnea,,Hamamelidaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Exbucklandia populnea,"Sauquet et al., 2017",Exbucklandia populnea,Reyes et al. 2016,,,0,,,,,
Fagonia_indica,,Zygophyllaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Fagonia indica,Reyes et al. 2016,,,0,,,,,
Fagopyrum_esculentum,,Polygonaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Fagopyrum esculentum,"Sauquet et al., 2017",,,,,0,,,,,
Falcaria_vulgaris,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Falcaria vulgaris,1,0,,,,,
Fallopia_sachalinensis,,Polygonaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Fallopia sachalinensis,"Sauquet et al., 2017",,,,,0,,,,,
Favratia_zoysii,,Campanulaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Campanula zoysii,3,0,,,,,
Fedia_cornucopiae,,Caprifoliaceae,,Zygo,,"Kalisz et al., 2006",,,Zygo,,,,,Fedia cornucopia,http://www.botany.hawaii.edu/faculty/ca2/images/fed_cor_fl.jpg,0,,,,,
Fendlera_rupicola,,Hydrangeaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Fendlera rupicola,"Sauquet et al., 2017",,,,,0,,,,,
Ferula_bucharica,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Ladyginia bucharica,1,0,,,,,
Ficus_carica,,Moraceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Ficus carica,"Sauquet et al., 2017",Ficus carica,Reyes et al. 2016,,,0,,,,,
Filago_minima,,Compositae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Filago minima,2,0,,,,,
Flabellaria_paniculata,,Malpighiaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Flabellaria paniculata,Reyes et al. 2016,,,0,,,,,
Flabellariopsis_acuminata,,Malpighiaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Flabellariopsis acuminata,Reyes et al. 2016,,,0,,,,,
Flacourtia_indica,,Salicaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Flacourtia indica,"Sauquet et al., 2017",,,,,0,,,,,
Flagellaria_indica,,Flagellariaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Flagellaria indica,"Sauquet et al., 2017",Flagellaria indica,Reyes et al. 2016,,,0,,,,,
Floerkea_proserpinacoides,,Limnanthaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Floerkea proserpinacoides,"Sauquet et al., 2017",Floerkea proserpinacoides,Reyes et al. 2016,,,0,,,,,
Foeniculum_vulgare,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Foeniculum vulgare,1,0,,,,,
Forchhammeria_pallida,,Capparaceae Resedaceae?,,Act,,Reyes et al. 2016; ,,Act,,,,Forchhammeria pallida,Reyes et al. 2016,,,0,,,,,
Forgesia_racemosa,,Escalloniaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Forgesia racemosa,"Sauquet et al., 2017",,,,,0,,,,,
Forstera_bidwillii,,Stylidiaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Forstera bidwillii,"Sauquet et al., 2017",,,,,0,,,,,
Forsythia_viridissima,,Oleaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Forsythia viridissima,family scored from ref. 1,0,,,,,
Fouquieria_formosa,,Fouquieriaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Fouquieria formosa,Reyes et al. 2016,,,0,,,,,
Fouquieria_splendens,,Fouquieriaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Fouquieria splendens,"Sauquet et al., 2017",Fouquieria splendens,Reyes et al. 2016,,,0,,,,,
