og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Clusia.schumburgkiana,Clusiaceae,1,NA,NA,Gran Sabana (Venezuela),4.95,-61.13333333,800-1300,Riparian,Bittrich & Amaral (1996) Kew Bull. 51: 681-694.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,1,Clusia schumburgkiana
Clusia.schumburgkiana,Clusiaceae,2,NA,NA,NA,NA,NA,NA,NA,Bittrich & Amaral (1996) Kew Bull. 51: 681-694.,NA,NA,NA,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,2,Clusia schumburgkiana
Cnidoscolus.souzae,Euphorbiaceae,1,NA,NA,Yucatan (Mexico),NA,NA,NA,NA,Arceo-Gómez et al. (2016). Plant Biol. 18: 594-600.,NA,NA,NA,M species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality,1,Cnidoscolus souzae
Colchicum.stevenii,Colchicaceae,6.1,0.24,NA,(Israel),NA,NA,NA,Mediterranean scrubland,Dafni (1996). Bocconea 5: 171-181.,NA,NA,Little,Nov.,NA,NA,NA,marcoshighquality,6.1,Colchicum stevenii
Columnea.magnifica,Gesneriaceae,7,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,7,Columnea magnifica
Combretum.fruticosum,Combretaceae,4,NA,NA,"Concepción del Uruguay, Entre Ríos (Argentina)",-32.48333333,-58.23333333,3,"Riparian gallery forest, tropical",Bernardello et al. (1994). Bot. J. Linn. Soc. 114: 293-308.,NA,SI,1,Geographical coordinates taken from Wikipedia.,NA,NA,NA,marcoshighquality,4,Combretum fruticosum
Commelina.elegans(=C.erecta),Commelinaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Commelina erecta
Comocladia.pinnatifolia,Anacardiaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Comocladia pinnatifolia
Connarus.suberosus,Connaraceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Connarus suberosus
Conocarpus.erectus,Combretaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Conocarpus erectus
Conostegia.oerstediana,Melastomataceae,1.8,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.8,Conostegia oerstediana
Conostegia.xalapensis,Melastomataceae,1.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.6,Conostegia xalapensis
Convolvulus.althaeoides,Convolvulaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Convolvulus althaeoides
Convolvulus.arvensis,Convolvulaceae,0.5125,0.062916667,3,Trnava (Slovakia),48.38333333,17.58333333,NA,Ruderal,Prokop & Neupauerová (2014). Turk. J. Bot. 38: 877-882.,NA,SI,NA,NA,0.866666667,0.067083333,NA,marcoshighquality,0.5125,Convolvulus arvensis
Convolvulus.arvensis,Convolvulaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Convolvulus arvensis
Convolvulus.cantabrica,Convolvulaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Convolvulus cantabrica
Coptis.aspleniifolia,Ranunculaceae,6 to 17,NA,NA,"Juneau, Alaska (USA)",NA,NA,< 400 m,Coniferous forest,Willson & Anderson (2007). Northwest Sci. 81: 163-165.,NA,NA,NA,Sex-labile species.,NA,NA,NA,marcoshighquality,11.5,Coptis aspleniifolia
Cordia.brownei,Boraginaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Cordia brownei
Cordia.gerascanthus,Boraginaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Cordia gerascanthus
Cordia.globosa.var.humilis,Boraginaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,Heterocollary; two morphs of corolla differing in size.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Cordia globosa var humilis
Cordia.sebestena,Boraginaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,Heterocollary; two morphs of corolla differing in size.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Cordia sebestena
Coryphantha.elephantidens,Cactaceae,1,NA,0,"Quilamulo, Morelos (Mexico)",NA,NA,NA,Tropical dry forest,Martínez-Peralta & Martínez-Zavala (2021). Pl. Sp. Biol. 36: 102-113.,NA,SI,0,Late Jul-early Oct. Gd species. Data for hermaphroditic flowers.,NA,NA,Open during the day,marcoshighquality marcoshighquality,1,Coryphantha elephantidens
Coryphantha.elephantidens,Cactaceae,2,NA,0,NA,NA,NA,NA,NA,Martínez-Peralta & Martínez-Zavala (2021). Pl. Sp. Biol. 36: 102-113.,NA,NA,0,Late Jul-early Oct. Gd species. Data for female flowers.,NA,NA,"Open during the day, closed at night",marcoshighquality marcoshighquality,2,Coryphantha elephantidens
Costus.montanus,Costaceae,1.5,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.5,Costus montanus
Costus.spiralis,Costaceae,12 to 14 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,PSC,1,"Maximum longevity given. Mar-Nov (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,Open at night,marcoshighquality,0.541666667,Costus spiralis
Costus.wilsonii,Costaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Costus wilsonii
Couepia.grandiflora,Chrysobalanaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Couepia grandiflora
Crocus.cancelatus,Iridaceae,4.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.2,Crocus cancelatus
Crocus.laevigatus,Iridaceae,4.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.1,Crocus laevigatus
Crotalaria.verrucosa,Fabaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Crotalaria verrucosa
