og_species,sym_all,sources
Aextoxicon punctatum,actinomorphic,jolyandschoen2021
Afraegle paniculata,actinomorphic,2023TRY_350
Aframomum alboviolaceum,zygomorphic,2023TRY_350
Aframomum exscapum,zygomorphic,2023TRY_350
Aframomum longiligulatum,zygomorphic,2023TRY_350
Aframomum melegueta,zygomorphic,2023TRY_350
Aframomum thonneri,zygomorphic,2023TRY_350
Aframomum zambesiacum,zygomorphic,2023TRY_350
Afroaster hispidus,actinomorphic,2023TRY_350
Afroaster tansaniensis,actinomorphic,2023TRY_350
Afrobrunnichia erecta,actinomorphic,2023TRY_350
Afrocalathea rhizantha,zygomorphic,2023TRY_350
Afrocanthium lactescens,actinomorphic,2023TRY_350
Afrohybanthus enneaspermus,zygomorphic,2023TRY_350
Afrohybanthus stellarioides,zygomorphic,stephens2021
Afrolicania elaeosperma,actinomorphic,jolyandschoen2021 2023TRY_350
Afroligusticum claessensii,actinomorphic,2023TRY_350
Afroligusticum linderi,actinomorphic,2023TRY_350
Afroligusticum volkensii,actinomorphic,2023TRY_350
Afrosciadium kerstenii,actinomorphic,2023TRY_350
Afrostyrax kamerunensis,actinomorphic,2023TRY_350
Afrostyrax lepidophyllus,actinomorphic,2023TRY_350
Afrotysonia pilosicaulis,zygomorphic,2023TRY_350
Afzelia africana,zygomorphic,2023TRY_350
Afzelia bipindensis,zygomorphic,2023TRY_350
Afzelia pachyloba,zygomorphic,2023TRY_350
Afzelia quanzensis,zygomorphic,2023TRY_350
Agalinis auriculata,zygomorphic,jolyandschoen2021
Agalinis skinneriana,zygomorphic,jolyandschoen2021
Aganope stuhlmannii,zygomorphic,2023TRY_350
Agapanthus africanus,actinomorphic,2023TRY_350
Agapanthus campanulatus,actinomorphic zygomorphic,jolyandschoen2021 2023TRY_350
Agapanthus praecox,actinomorphic,2023TRY_350
Agapanthus praecox subsp. minimus,actinomorphic,2023TRY_350
Agastache nepetoides,zygomorphic,yoderetal2020
Agastache scrophulariaefolia,zygomorphic,yoderetal2020
Agathisanthemum globosum,actinomorphic,2023TRY_350
Agauria salicifolia,actinomorphic,yoderetal2020
Agave americana,actinomorphic,2023TRY_350
Agave ghiesbreghtii,actinomorphic,jolyandschoen2021
Agave sisalana,actinomorphic,2023TRY_350
Agelaea paradoxa,actinomorphic,2023TRY_350
Agelaea pentagyna,actinomorphic,2023TRY_350
Agelanthus brunneus,actinomorphic,jolyandschoen2021 2023TRY_350
Agelanthus djurensis,actinomorphic,jolyandschoen2021
Agelanthus dodoneifolius,zygomorphic,2023TRY_350
Agelanthus fuellebornii,actinomorphic zygomorphic,2023TRY_350
Agelanthus pilosus,zygomorphic,2023TRY_350
Agelanthus pungu,actinomorphic zygomorphic,2023TRY_350
Agelanthus sansibarensis,actinomorphic,2023TRY_350
Ageratina riparia,actinomorphic,jolyandschoen2021
Ageratinastrum polyphyllum,actinomorphic,2023TRY_350
Ageratum conyzoides,actinomorphic zygomorphic,yoderetal2020 2023TRY_350
Ageratum houstonianum,actinomorphic,yoderetal2020
Ageretina adenophora,actinomorphic,yoderetal2020
Agonis theiformis,actinomorphic,stephens2021
Agrimonia eupatoria,actinomorphic,yoderetal2020
Agrimonia pilosa,actinomorphic,yoderetal2020
Agrimonia striata,actinomorphic,yoderetal2020
Agrostis kilimandscharica,zygomorphic,2023TRY_350
Agrostocrinum scabrum,actinomorphic,stephens2021
Aichryson laxum,actinomorphic,yoderetal2020
Aidia micrantha,actinomorphic,2023TRY_350
Ailanthus altissima,actinomorphic,jolyandschoen2021
Ainsliaea acerifolia,actinomorphic,yoderetal2020
Ainsliaea apiculata,actinomorphic,jolyandschoen2021
Ainsliaea faurieana,actinomorphic,jolyandschoen2021
Aizoanthemum hispanicum,actinomorphic,2023TRY_350
